fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.2,0.785,2.1,0.06,13,0.99664,3.59,0.61,10,4
6.7,1.04,2.3,0.067,32,0.99648,3.52,0.57,11,4
5.6,0.62,1.5,0.08,13,0.99498,3.66,0.62,10.1,4
9.2,0.59,3.3,0.101,47,0.9988,3.26,0.67,9.6,5
9.3,0.715,2.1,0.07,20,0.9966,3.12,0.59,9.9,5
9.1,0.47,2.6,0.094,106,0.9982,3.08,0.59,9.1,5
5,1.04,1.6,0.05,96,0.9934,3.74,0.62,11.5,5
15.5,0.645,4.2,0.095,23,1.00315,2.92,0.74,11.1,5
15.6,0.645,4.2,0.095,23,1.00315,2.92,0.74,11.1,5
12.7,0.6,2.8,0.075,19,0.9994,3.14,0.57,11.4,5
9,0.54,2.9,0.094,110,0.9982,3.08,0.61,9.2,5
12.7,0.6,2.8,0.075,19,0.9994,3.14,0.57,11.4,5
10.2,0.24,2.4,0.075,28,0.9978,3.14,0.61,10.4,5
8.8,0.44,2.8,0.083,111,0.9982,3.3,0.6,9.5,5
8.8,0.47,2.9,0.085,110,0.9982,3.29,0.6,9.8,5
12.3,0.5,2.2,0.089,14,1.0002,3.19,0.44,9.6,5
12.3,0.5,2.2,0.089,14,1.0002,3.19,0.44,9.6,5
7.3,0.73,1.9,0.108,102,0.9967,3.26,0.59,9.3,5
9,0.45,2.6,0.084,75,0.9987,3.35,0.57,9.7,5
9,0.45,2.6,0.084,75,0.9987,3.35,0.57,9.7,5
9.9,0.49,3.5,0.094,43,1.0004,3.29,0.58,9,5
8.9,0.595,7.9,0.086,109,0.9998,3.27,0.57,9.3,5
7.7,0.835,2.6,0.081,14,0.9975,3.3,0.52,9.3,5
8.8,0.24,2.5,0.083,57,0.9983,3.39,0.54,9.2,5
13.2,0.38,2.7,0.081,16,1.0006,2.98,0.54,9.4,5
9.6,0.6,2.3,0.079,71,0.9997,3.5,0.57,9.7,5
11.3,0.37,2.3,0.088,16,0.9988,3.09,0.8,9.3,5
8.3,0.54,3.4,0.076,112,0.9976,3.27,0.61,9.4,5
8.2,0.56,3.4,0.078,104,0.9976,3.28,0.62,9.4,5
10,0.58,1.9,0.08,32,0.9974,3.13,0.55,9.5,5
6.8,0.69,5.6,0.124,58,0.9997,3.46,0.72,10.2,5
8.8,0.6,2.2,0.098,15,0.9988,3.36,0.49,9.1,5
8.8,0.6,2.2,0.098,15,0.9988,3.36,0.49,9.1,5
7.6,0.685,2.3,0.111,84,0.9964,3.21,0.61,9.3,5
10.4,0.28,2.7,0.105,19,0.9988,3.25,0.63,9.5,5
7.9,0.35,1.9,0.073,102,0.9964,3.27,0.58,9.5,5
8.7,0.84,1.4,0.065,33,0.9954,3.27,0.55,9.7,5
9.6,0.88,2.4,0.086,147,0.9979,3.24,0.53,9.4,5
9.5,0.885,2.3,0.084,145,0.9978,3.24,0.53,9.4,5
9.9,0.54,2.3,0.071,40,0.9991,3.39,0.62,9.4,5
9.9,0.54,2.3,0.071,40,0.9991,3.39,0.62,9.4,5
9.9,0.54,2.3,0.071,40,0.9991,3.39,0.62,9.4,5
10.7,0.43,2.2,0.106,32,0.9986,2.89,0.5,9.6,5
15.9,0.36,7.5,0.096,71,0.9976,2.98,0.84,14.9,5
8.6,0.47,2.4,0.074,29,0.9979,3.08,0.46,9.5,5
9.7,0.55,2.9,0.087,53,1.0004,3.14,0.61,9.4,5
10.7,0.43,2.2,0.106,32,0.9986,2.89,0.5,9.6,5
7.5,0.42,1.6,0.08,42,0.9978,3.31,0.64,9,5
9.4,0.59,2,0.084,48,0.9981,3.14,0.56,9.7,5
8.2,0.73,1.7,0.074,13,0.9968,3.2,0.52,9.5,5
8.2,0.73,1.7,0.074,13,0.9968,3.2,0.52,9.5,5
8.6,0.8,2.3,0.084,31,0.9979,3.4,0.48,9.9,5
8.3,0.78,2.6,0.081,87,0.9983,3.48,0.53,10,5
10.8,0.26,3.3,0.06,49,0.9972,3.13,0.54,9.6,5
8.5,0.46,2.25,0.078,58,0.998,3.33,0.54,9.8,5
8.1,0.78,2.6,0.059,15,0.997,3.37,0.56,11.3,5
9.8,0.98,2.3,0.078,152,0.998,3.25,0.48,9.4,5
8.1,0.78,2.6,0.059,15,0.997,3.37,0.56,11.3,5
7.7,0.66,1.6,0.039,9,0.9962,3.4,0.47,9.4,5
8.1,0.38,1.8,0.157,17,0.9976,3.3,1.05,9.4,5
9.2,0.92,2.6,0.087,93,0.9998,3.48,0.54,9.8,5
8.6,0.49,2,0.422,62,0.9979,3.03,1.17,9,5
9,0.48,2.8,0.084,122,0.9984,3.32,0.62,9.4,5
9,0.47,2.7,0.084,125,0.9984,3.31,0.61,9.4,5
9.4,0.615,3.2,0.087,72,1.0001,3.31,0.53,9.7,5
8.4,1.035,6,0.073,54,0.999,3.37,0.49,9.9,5
7,0.78,2,0.093,19,0.9956,3.4,0.47,10,5
7.4,0.49,3,0.077,37,0.9966,3.37,0.51,10.5,5
10.6,1.025,2.8,0.08,84,0.9985,3.06,0.57,10.1,5
8.9,0.565,3,0.093,112,0.9998,3.38,0.61,9.5,5
9.9,0.74,2.6,0.078,77,0.998,3.28,0.51,9.8,5
7.6,0.46,2.6,0.079,49,0.9968,3.21,0.57,10,5
8.4,0.56,2,0.082,22,0.9976,3.22,0.44,9.6,5
7.1,0.66,3.9,0.086,45,0.9976,3.46,0.54,9.5,5
8.4,0.56,2,0.082,22,0.9976,3.22,0.44,9.6,5
8.9,0.48,2.85,0.094,106,0.9982,3.1,0.53,9.2,5
7.1,0.31,2.2,0.053,127,0.9965,2.94,1.62,9.5,5
9,0.66,3,0.077,13,0.9976,3.29,0.55,10.4,5
6.4,0.57,1.8,0.067,11,0.997,3.46,0.68,9.5,5
6.4,0.57,1.8,0.067,11,0.997,3.46,0.68,9.5,5
9.5,0.55,2.3,0.387,37,0.9982,3.17,0.67,9.6,5
8.9,0.875,3.45,0.088,14,0.9994,3.44,0.52,11.5,5
7.3,0.835,2.1,0.092,19,0.9966,3.39,0.47,9.6,5
7,0.45,2.7,0.082,72,0.998,3.55,0.6,9.5,5
7.7,0.56,2,0.075,39,0.9987,3.48,0.62,9.3,5
7.7,0.965,2.1,0.112,22,0.9963,3.26,0.5,9.5,5
9,0.69,2.4,0.088,38,0.999,3.35,0.6,9.3,5
9.2,0.53,2.6,0.078,139,0.99788,3.21,0.57,9.5,5
11.1,0.39,2.7,0.095,101,1.0001,3.13,0.51,9.5,5
8.3,0.65,2.9,0.089,40,0.99803,3.29,0.55,9.5,5
7.6,0.54,2.5,0.097,66,0.99785,3.39,0.61,9.4,5
8.3,0.65,2.9,0.089,40,0.99803,3.29,0.55,9.5,5
8.1,0.87,2.2,0.084,31,0.99656,3.25,0.5,9.8,5
8.1,0.87,2.2,0.084,31,0.99656,3.25,0.5,9.8,5
8.8,0.42,2.5,0.092,88,0.99823,3.19,0.52,9.2,5
9,0.58,2.8,0.075,104,0.99779,3.23,0.57,9.7,5
9.3,0.655,2,0.096,35,0.99738,3.25,0.42,9.6,5
8.8,0.59,2.9,0.089,74,0.99738,3.14,0.54,9.4,5
7.9,0.72,1.9,0.076,32,0.99668,3.39,0.54,9.6,5
9.4,0.685,2.4,0.082,143,0.9978,3.28,0.55,9.4,5
9.5,0.57,2.3,0.082,144,0.99782,3.27,0.55,9.4,5
7.2,1,3,0.102,16,0.99586,3.43,0.46,10,5
8.3,0.43,3.4,0.079,34,0.99788,3.36,0.61,10.5,5
7.1,0.52,2.6,0.076,92,0.99745,3.5,0.6,9.8,5
6.5,0.46,2.4,0.114,37,0.99732,3.66,0.65,9.8,5
7.1,0.59,2.5,0.077,85,0.99746,3.55,0.59,9.8,5
9.9,0.35,2.3,0.083,61,0.9982,3.21,0.5,9.5,5
8.6,0.63,2.9,0.099,119,0.998,3.09,0.52,9.3,5
8.8,0.64,2.9,0.084,130,0.99818,3.23,0.54,9.6,5
7.7,0.6,2.6,0.055,13,0.99639,3.38,0.56,10.8,5
10.8,0.89,2.6,0.132,60,0.99786,2.99,1.18,10.2,5
8.7,0.46,2.5,0.126,64,0.99746,3.1,0.74,9.6,5
8.6,0.55,3.3,0.068,17,0.99735,3.23,0.44,10,5
7.4,0.53,1.9,0.165,12,0.99702,3.26,0.86,9.2,5
7.3,0.49,2.6,0.068,14,0.99562,3.3,0.47,10.5,5
9.1,0.66,3.2,0.097,59,0.99976,3.28,0.54,9.6,5
7,0.685,1.9,0.099,22,0.99606,3.34,0.6,9.7,5
6.7,0.54,2,0.076,36,0.9973,3.61,0.64,9.8,5
7.1,0.48,2.8,0.068,16,0.99682,3.24,0.53,10.3,5
7.1,0.46,2.8,0.076,37,0.99624,3.36,0.49,10.7,5
6.6,0.66,3,0.115,31,0.99629,3.45,0.63,10.3,5
7.1,0.685,2,0.088,92,0.9963,3.28,0.62,9.4,5
6.4,0.64,1.8,0.081,31,0.99689,3.59,0.66,9.8,5
6.4,0.64,1.8,0.081,31,0.99689,3.59,0.66,9.8,5
9.3,0.43,1.9,0.085,22,0.99708,3.28,0.55,9.5,5
9.3,0.43,1.9,0.085,22,0.99708,3.28,0.55,9.5,5
7.2,0.62,2.7,0.077,85,0.99746,3.51,0.54,9.5,5
7.5,0.42,2.7,0.067,25,0.99628,3.24,0.44,10.4,5
7.2,0.62,2.5,0.078,84,0.99746,3.51,0.53,9.7,5
7.2,0.635,2.6,0.077,86,0.99748,3.51,0.54,9.7,5
6.9,0.56,1.5,0.086,46,0.99522,3.53,0.57,10.6,5
8.9,0.75,2.5,0.086,30,0.99824,3.34,0.64,10.5,5
10.7,0.9,6.6,0.112,99,1.00289,3.22,0.68,9.3,5
7.2,0.66,2.3,0.078,86,0.99743,3.53,0.57,9.7,5
7.2,0.66,2.3,0.078,86,0.99743,3.53,0.57,9.7,5
8.9,0.31,2.6,0.056,39,0.99562,3.4,0.69,11.8,5
7.2,0.54,2.6,0.084,78,0.9964,3.39,0.71,11,5
5.3,0.715,1.5,0.161,62,0.99395,3.62,0.61,11,5
9.6,0.41,2.3,0.091,23,0.99786,3.24,0.56,10.5,5
8.6,0.47,2.3,0.055,28,0.99516,3.18,0.8,11.2,5
8.6,0.47,2.3,0.055,28,0.99516,3.18,0.8,11.2,5
7.4,0.61,2,0.074,38,0.99748,3.48,0.65,9.8,5
6.6,0.61,1.9,0.08,25,0.99746,3.69,0.73,10.5,5
6.2,0.46,1.6,0.073,11,0.99425,3.61,0.54,11.4,5
8.5,0.21,1.9,0.09,23,0.99648,3.36,0.67,10.4,5
7.1,0.56,1.6,0.078,18,0.99592,3.27,0.62,9.3,5
6.6,0.57,2.1,0.115,16,0.99654,3.38,0.69,9.5,5
8.5,0.66,2.1,0.097,113,0.99733,3.13,0.48,9.2,5
7.2,0.41,2.1,0.083,72,0.997,3.44,0.52,9.4,5
8.4,0.59,2.6,0.109,119,0.99801,3.15,0.5,9.1,5
9.5,0.86,1.9,0.079,28,0.99712,3.25,0.62,10,5
7.1,0.36,1.6,0.08,70,0.99693,3.44,0.5,9.4,5
7.7,0.39,1.7,0.097,27,0.99596,3.16,0.49,9.4,5
7.7,0.39,1.7,0.097,27,0.99596,3.16,0.49,9.4,5
7.1,0.34,2,0.082,68,0.99694,3.45,0.48,9.4,5
7.1,0.34,2,0.082,68,0.99694,3.45,0.48,9.4,5
8.2,0.43,1.6,0.081,45,0.99603,3.25,0.54,10.3,5
7.7,1.005,2.1,0.102,32,0.99604,3.23,0.48,10,5
7,0.5,1.8,0.078,23,0.99636,3.53,0.61,10.4,5
7,0.51,2.1,0.062,9,0.99584,3.35,0.54,10.5,5
6.4,0.795,2.2,0.065,52,0.99378,3.49,0.52,11.6,5
8.1,0.82,4.1,0.095,14,0.99854,3.36,0.53,9.6,5
7.1,0.43,1.8,0.082,51,0.99634,3.49,0.64,10.4,5
8.5,0.46,1.4,0.414,45,0.99702,3.03,1.34,9.2,5
5.6,0.605,2.4,0.073,25,0.99258,3.56,0.55,12.9,5
7.6,0.42,3.9,0.104,90,0.99784,3.15,0.57,9.1,5
8,0.62,2.8,0.086,52,0.997,3.31,0.62,10.8,5
7.5,0.77,8.1,0.098,92,0.99892,3.2,0.58,9.2,5
8.6,0.37,6.4,0.08,8,0.99817,3.27,0.58,11,5
6.8,0.48,1.8,0.074,64,0.99529,3.12,0.49,9.6,5
8.6,0.52,1.5,0.096,18,0.99666,3.2,0.52,9.4,5
6.3,0.57,2.1,0.048,49,0.99374,3.41,0.6,12.8,5
8.1,0.78,3.3,0.09,13,0.99855,3.36,0.49,9.5,5
5.6,0.66,2.5,0.066,15,0.99256,3.52,0.58,12.9,5
10,0.43,2.7,0.095,89,0.9984,3.22,0.68,10,5
7.5,0.41,3.7,0.104,94,0.99786,3.14,0.58,9.1,5
7.3,0.32,2.3,0.066,70,0.99588,3.43,0.62,10.1,5
8.3,0.6,2.2,0.118,38,0.99616,3.15,0.53,9.8,5
8.3,0.6,2.2,0.118,38,0.99616,3.15,0.53,9.8,5
9,0.785,1.7,0.078,21,0.99692,3.29,0.67,10,5
5.6,0.915,2.1,0.041,78,0.99346,3.68,0.73,11.4,5
9.8,0.39,1.65,0.068,11,0.99478,3.19,0.46,11.4,5
6.8,0.66,1.6,0.07,61,0.99572,3.29,0.6,9.3,5
6.7,0.64,2.1,0.08,119,0.99538,3.36,0.7,10.9,5
6.7,0.64,2.1,0.08,119,0.99538,3.36,0.7,10.9,5
6.5,0.885,2.3,0.166,12,0.99551,3.56,0.51,10.8,5
9.9,0.74,5.8,0.111,76,0.99878,3.14,0.55,9.4,5
9.9,0.72,1.7,0.136,52,0.99752,3.35,0.94,10,5
9.2,0.46,2.6,0.091,77,0.99922,3.15,0.51,9.4,5
7.5,0.58,4.1,0.08,46,0.99592,3.02,0.47,9.2,5
9,0.58,2,0.104,21,0.99769,3.27,0.72,9.6,5
7.6,0.43,2.1,0.075,66,0.99718,3.4,0.64,9.5,5
7.8,0.815,2.6,0.074,90,0.99621,3.38,0.62,10.8,5
7.6,0.43,2.1,0.075,66,0.99718,3.4,0.64,9.5,5
7.5,0.61,1.7,0.076,60,0.99494,3.1,0.4,9.3,5
8.3,0.56,2.4,0.082,86,0.9983,3.37,0.62,9.5,5
7.4,0.55,1.8,0.082,34,0.99655,3.49,0.68,10.5,5
7.4,0.74,1.7,0.086,48,0.99502,3.12,0.48,10,5
7.5,0.58,2.2,0.077,60,0.9963,3.28,0.59,9.8,5
7.1,0.72,1.8,0.123,14,0.99627,3.45,0.58,9.8,5
7.9,0.66,1.4,0.096,13,0.99569,3.43,0.58,9.5,5
7.8,0.7,1.9,0.079,35,0.99628,3.4,0.69,10.9,5
7.5,0.59,1.8,0.082,60,0.99499,3.1,0.42,9.2,5
8.6,0.635,1.8,0.403,56,0.99632,3.02,1.15,9.3,5
9.8,0.45,2.5,0.081,66,0.99726,3.15,0.58,9.8,5
5.9,0.46,1.9,0.077,44,0.99385,3.5,0.53,11.2,5
7.5,0.58,2,0.073,44,0.99494,3.1,0.43,9.3,5
7,0.42,2.3,0.071,36,0.99476,3.39,0.56,10.9,5
11.3,0.37,1.8,0.09,47,0.99734,3.15,0.57,10.5,5
7,0.6,4.5,0.068,110,0.99914,3.3,1.17,10.2,5
7,0.6,4.5,0.068,110,0.99914,3.3,1.17,10.2,5
7.6,0.74,1.9,0.1,12,0.99521,3.36,0.59,11,5
6.6,0.63,4.3,0.093,77.5,0.99558,3.2,0.45,9.5,5
7.6,0.79,2.3,0.087,68,0.9955,3.12,0.44,9.2,5
7.5,0.61,1.9,0.073,88,0.99612,3.3,0.53,9.8,5
9.7,0.69,2.5,0.088,91,0.9979,3.29,0.62,10.1,5
7,0.62,1.4,0.071,63,0.996,3.28,0.61,9.2,5
8,1.18,1.9,0.083,41,0.99532,3.34,0.47,10.5,5
9.1,0.34,1.8,0.058,18,0.99392,3.18,0.55,11.4,5
6.5,0.52,1.8,0.073,38,0.9955,3.34,0.52,9.3,5
7.8,0.87,3.8,0.107,67,0.99668,3.26,0.46,9.2,5
9.1,0.775,2.2,0.079,48,0.9976,3.18,0.51,9.6,5
7.2,0.835,2,0.166,11,0.99608,3.39,0.52,10,5
6,0.5,1.4,0.057,26,0.99448,3.36,0.45,9.5,5
6,0.5,1.4,0.057,26,0.99448,3.36,0.45,9.5,5
6,0.5,1.4,0.057,26,0.99448,3.36,0.45,9.5,5
11.5,0.42,2.6,0.077,20,0.99852,3.09,0.53,11,5
6.1,0.59,2.1,0.056,13,0.99472,3.52,0.56,11.4,5
7.2,0.655,1.8,0.078,12,0.99587,3.34,0.39,9.5,5
7.6,0.645,1.9,0.086,57,0.9969,3.37,0.46,10.3,5
6.1,0.32,1.8,0.086,32,0.99464,3.36,0.44,10.1,5
6.1,0.34,1.8,0.084,28,0.99464,3.36,0.44,10.1,5
7.4,0.64,5.4,0.168,98,0.99736,3.28,0.5,9.5,5
8.3,0.85,2.5,0.093,54,0.99724,3.36,0.54,10.1,5
7.3,0.74,1.7,0.094,45,0.99576,3.24,0.5,9.8,5
8.7,0.78,1.7,0.415,66,0.99623,3,1.17,9.2,5
8.7,0.78,1.7,0.415,66,0.99623,3,1.17,9.2,5
8.2,0.885,1.4,0.086,31,0.9946,3.11,0.46,10,5
8,0.6,2.1,0.08,105,0.99613,3.3,0.49,9.9,5
8,0.6,2.1,0.08,105,0.99613,3.3,0.49,9.9,5
7.1,0.755,1.8,0.107,84,0.99593,3.19,0.5,9.5,5
8,0.81,3.4,0.076,85,0.99668,3.19,0.42,9.2,5
7.4,0.64,1.8,0.1,23,0.9961,3.3,0.58,9.6,5
6.6,0.64,6.1,0.083,49,0.99718,3.35,0.68,10.3,5
8,0.64,2.4,0.094,33,0.99612,3.37,0.58,11,5
7.1,0.62,1.3,0.07,12,0.9942,3.17,0.48,9.8,5
8,0.52,2,0.078,59,0.99612,3.3,0.48,10.2,5
8.7,0.675,1.6,0.09,11,0.99745,3.31,0.65,9.55,5
7.3,0.59,2,0.08,104,0.99584,3.28,0.52,9.9,5
7.9,0.69,2.1,0.08,141,0.9962,3.25,0.51,9.9,5
9.9,0.57,2,0.104,89,0.9963,3.04,0.9,10.1,5
10,0.32,2.2,0.077,15,0.9994,3.2,0.78,9.6,5
6.2,0.58,1.6,0.065,18,0.9966,3.56,0.84,9.4,5
10,0.32,2.2,0.077,15,0.9994,3.2,0.78,9.6,5
7.8,0.53,1.6,0.077,19,0.995,3.16,0.46,9.8,5
7.7,0.64,2.2,0.077,133,0.9956,3.27,0.45,9.9,5
7.8,0.53,1.6,0.077,19,0.995,3.16,0.46,9.8,5
7.5,0.4,1.6,0.079,58,0.9965,3.34,0.58,9.4,5
7.6,0.41,2.5,0.078,23,0.9957,3.3,0.58,11.2,5
7.8,0.64,1.9,0.072,55,0.9962,3.31,0.63,11,5
7.9,0.18,2.2,0.049,67,0.996,3.33,0.93,11.3,5
7.4,0.41,1.8,0.066,47,0.9956,3.37,0.62,10.4,5
10,0.38,1.6,0.169,90,0.99914,3.15,0.65,8.5,5
6.8,0.915,4.8,0.07,39,0.99577,3.53,0.54,11.1,5
7,0.59,1.7,0.052,8,0.996,3.41,0.47,10.3,5
6.9,0.58,1.75,0.058,22,0.99322,3.38,0.49,11.7,5
6.8,0.67,1.9,0.08,39,0.99701,3.4,0.74,9.7,5
7.6,0.49,1.9,0.074,85,0.99706,3.41,0.58,9,5
8.4,0.29,1.7,0.067,20,0.99603,3.39,0.6,10.5,5
6.8,0.59,1.7,0.063,53,0.9958,3.41,0.67,9.7,5
10,0.69,1.4,0.084,24,0.99578,2.88,0.47,9.7,5
6.7,0.7,3.75,0.067,16,0.99334,3.43,0.52,12.6,5
6.1,0.6,1.8,0.071,45,0.99336,3.38,0.54,11,5
9.9,0.5,13.8,0.205,82,1.00242,3.16,0.75,8.8,5
9.9,0.5,13.8,0.205,82,1.00242,3.16,0.75,8.8,5
8.2,0.28,3,0.104,22,0.99828,3.39,0.68,10.6,5
8.2,0.28,3,0.104,22,0.99828,3.39,0.68,10.6,5
8.1,0.33,1.5,0.042,12,0.99542,3.35,0.61,10.7,5
7,0.655,2.1,0.074,25,0.99606,3.37,0.55,9.7,5
6.8,0.68,2.1,0.07,23,0.99546,3.38,0.6,10.3,5
6,0.64,1.9,0.066,17,0.99496,3.52,0.78,10.6,5
5.6,0.54,1.7,0.049,13,0.9942,3.72,0.58,11.4,5
6.2,0.65,1.6,0.05,18,0.99348,3.57,0.54,11.95,5
7.7,0.54,1.9,0.089,147,0.99636,3.26,0.59,9.7,5
7.8,0.82,4.3,0.083,64,0.99642,3.16,0.53,9.4,5
7.9,0.18,1.8,0.062,20,0.9941,3.28,0.7,11.1,5
7.1,0.69,2.1,0.068,27,0.99712,3.44,0.67,9.8,5
7.4,0.47,2.2,0.114,20,0.99647,3.32,0.63,10.5,5
6.6,0.7,2.6,0.106,27,0.99665,3.44,0.58,10.2,5
6.1,0.32,2.3,0.071,58,0.99633,3.42,0.97,10.6,5
6.8,0.48,2,0.076,61,0.9953,3.34,0.6,10.4,5
6.7,0.48,2.1,0.064,34,0.99552,3.33,0.64,9.7,5
6.1,0.705,2.8,0.081,28,0.99631,3.6,0.66,10.2,5
8,0.39,1.9,0.074,84,0.99717,3.39,0.61,9,5
6.2,0.64,2.5,0.081,26,0.99538,3.57,0.63,12,5
7,0.57,2,0.072,26,0.99575,3.36,0.61,10.2,5
11.2,0.4,2,0.099,50,0.99783,3.1,0.58,10.4,5
7.1,0.67,2.3,0.083,27,0.99768,3.44,0.54,9.4,5
7.3,0.735,2.2,0.08,28,0.99765,3.41,0.6,9.4,5
6.6,0.88,2.2,0.066,20,0.99636,3.53,0.56,9.9,5
6.9,0.63,6.7,0.235,115,0.99787,3.22,0.56,9.5,5
7.8,0.6,2,0.08,131,0.99622,3.21,0.52,9.9,5
7.8,0.6,2,0.08,131,0.99622,3.21,0.52,9.9,5
7.8,0.6,2,0.08,131,0.99622,3.21,0.52,9.9,5
7.2,0.695,2,0.076,20,0.99546,3.29,0.54,10.1,5
7.2,0.695,2,0.076,20,0.99546,3.29,0.54,10.1,5
7.2,0.695,2,0.076,20,0.99546,3.29,0.54,10.1,5
7,0.56,1.6,0.077,42,0.99629,3.34,0.59,9.2,5
7.3,0.69,2.2,0.069,104,0.99632,3.33,0.51,9.5,5
6.1,0.715,2.6,0.053,27,0.99362,3.57,0.5,11.9,5
6.2,0.46,2.1,0.074,98,0.99578,3.33,0.62,9.8,5
6.2,0.6,2,0.09,44,0.9949,3.45,0.58,10.5,5
13,0.47,4.3,0.085,47,1.0021,3.3,0.68,12.7,6
7.6,0.29,2.7,0.092,60,0.9971,3.31,0.61,10.1,6
13,0.47,4.3,0.085,47,1.0021,3.3,0.68,12.7,6
8.7,0.7,2.5,0.226,15,0.9991,3.32,0.6,9,6
9.8,0.5,2.6,0.25,20,0.999,3.31,0.79,10.7,6
6.2,0.36,2.2,0.095,42,0.9946,3.57,0.57,11.7,6
11.5,0.35,3.3,0.07,37,1.0003,3.32,0.91,11,6
10.6,0.31,2.2,0.063,40,0.9976,3.14,0.51,9.8,6
6.6,0.39,1.7,0.07,149,0.9922,3.12,0.5,11.5,6
12.4,0.4,2,0.059,24,0.9994,3.04,0.6,9.3,6
8.5,0.585,2.1,0.078,30,0.9967,3.2,0.48,9.8,6
8.3,0.58,2.9,0.096,63,0.9984,3.17,0.62,9.1,6
8.8,0.48,3.3,0.092,52,0.9982,3.31,0.53,10.5,6
10.1,0.65,5.1,0.11,65,1.0026,3.32,0.64,10.4,6
6.3,0.36,3.2,0.075,39,0.9956,3.56,0.52,12.7,6
7.5,0.64,2.4,0.077,29,0.9965,3.32,0.6,10,6
11.5,0.31,2.2,0.079,28,0.9982,3.03,0.93,9.8,6
8.7,0.54,2.5,0.097,31,0.9976,3.27,0.6,9.3,6
8.7,0.54,2.5,0.097,31,0.9976,3.27,0.6,9.3,6
7.6,0.41,3,0.087,43,0.9964,3.32,0.57,10.5,6
8.9,0.29,1.9,0.067,57,0.997,3.18,1.36,10.3,6
6.7,0.42,8.6,0.068,148,0.9948,3.16,0.57,11.3,6
9.4,0.33,2.8,0.079,30,0.9976,3.12,0.54,12,6
7.2,0.52,1.4,0.074,20,0.9973,3.32,0.81,9.6,6
7.2,0.52,1.4,0.074,20,0.9973,3.32,0.81,9.6,6
7.2,0.57,1.6,0.076,27,0.9972,3.36,0.7,9.6,6
8.3,0.49,1.8,0.222,16,0.998,3.18,0.6,9.5,6
11.3,0.34,2,0.082,15,0.9988,2.94,0.66,9.2,6
11.3,0.34,2,0.082,15,0.9988,2.94,0.66,9.2,6
10.8,0.4,2.2,0.084,17,0.9984,3.08,0.67,9.3,6
8,0.45,2.2,0.094,29,0.9962,3.21,0.49,10.2,6
5.1,0.47,1.3,0.034,44,0.9921,3.9,0.62,12.8,6
7,0.65,2.1,0.066,25,0.9972,3.47,0.67,9.5,6
11.8,0.38,2.1,0.071,19,0.9986,3.11,0.62,10.8,6
10.6,1.02,2.9,0.076,88,0.9984,3.08,0.57,10.1,6
